id,name,number,rarity,hp,types,set_id,market_price_normal,market_price_holofoil,market_price_reverse
base1-49,Drowzee,49,Common,50,Psychic,base1,0.67,,
base1-50,Gastly,50,Common,30,Psychic,base1,0.83,,
base1-51,Koffing,51,Common,50,Grass,base1,0.67,,
base1-52,Machop,52,Common,50,Fighting,base1,0.47,,
base1-53,Magnemite,53,Common,40,Lightning,base1,0.61,,
base1-54,Metapod,54,Common,70,Grass,base1,0.84,,
base1-55,Nidoran ♂,55,Common,40,Grass,base1,0.63,,
base1-56,Onix,56,Common,90,Fighting,base1,0.72,,
base1-57,Pidgey,57,Common,40,Colorless,base1,1.42,,
base1-58,Pikachu,58,Common,40,Lightning,base1,6.1,,
base1-59,Poliwag,59,Common,40,Water,base1,0.61,,
base1-60,Ponyta,60,Common,40,Fire,base1,0.5,,
base1-61,Rattata,61,Common,30,Colorless,base1,0.75,,
base1-62,Sandshrew,62,Common,40,Fighting,base1,0.73,,
base1-63,Squirtle,63,Common,40,Water,base1,5.57,,
base1-64,Starmie,64,Common,60,Water,base1,0.69,,
base1-65,Staryu,65,Common,40,Water,base1,0.56,,
base1-66,Tangela,66,Common,50,Grass,base1,0.9,,
base1-67,Voltorb,67,Common,40,Lightning,base1,4.77,,
base1-68,Vulpix,68,Common,50,Fire,base1,0.71,,
base1-69,Weedle,69,Common,40,Grass,base1,0.57,,
base1-70,Clefairy Doll,70,Rare,10,,base1,6.61,,
base1-71,Computer Search,71,Rare,,,base1,3.62,,
base1-72,Devolution Spray,72,Rare,,,base1,5.19,,
base1-73,Impostor Professor Oak,73,Rare,,,base1,5.58,,
base1-74,Item Finder,74,Rare,,,base1,8.8,,
base1-75,Lass,75,Rare,,,base1,3.51,,
base1-76,Pokémon Breeder,76,Rare,,,base1,5.96,,
base1-77,Pokémon Trader,77,Rare,,,base1,5.44,,
base1-78,Scoop Up,78,Rare,,,base1,7.51,,
base1-79,Super Energy Removal,79,Rare,,,base1,4.1,,
base1-80,Defender,80,Uncommon,,,base1,1.26,,
base1-81,Energy Retrieval,81,Uncommon,,,base1,0.51,,
base1-82,Full Heal,82,Uncommon,,,base1,1.73,,
base1-83,Maintenance,83,Uncommon,,,base1,2.63,,
base1-84,PlusPower,84,Uncommon,,,base1,0.81,,
base1-85,Pokémon Center,85,Uncommon,,,base1,1.57,,
base1-86,Pokémon Flute,86,Uncommon,,,base1,2.96,,
base1-87,Pokédex,87,Uncommon,,,base1,0.59,,
base1-88,Professor Oak,88,Uncommon,,,base1,1.24,,
base1-89,Revive,89,Uncommon,,,base1,1.96,,
base1-90,Super Potion,90,Uncommon,,,base1,0.4,,
base1-91,Bill,91,Common,,,base1,0.43,,
base1-92,Energy Removal,92,Common,,,base1,0.49,,
base1-93,Gust of Wind,93,Common,,,base1,0.42,,
base1-94,Potion,94,Common,,,base1,0.26,,
base1-95,Switch,95,Common,,,base1,0.38,,
base1-96,Double Colorless Energy,96,Uncommon,,,base1,5.28,,
base1-97,Fighting Energy,97,,,,base1,0.48,,
base1-98,Fire Energy,98,,,,base1,0.51,,
base1-99,Grass Energy,99,,,,base1,0.47,,
base1-100,Lightning Energy,100,,,,base1,0.6,,
base1-101,Psychic Energy,101,,,,base1,0.67,,
base1-102,Water Energy,102,,,,base1,0.55,,
base2-1,Clefable,1,Rare Holo,70,Colorless,base2,,,
base2-2,Electrode,2,Rare Holo,90,Lightning,base2,,,
base2-3,Flareon,3,Rare Holo,70,Fire,base2,,,
base2-4,Jolteon,4,Rare Holo,70,Lightning,base2,,,
base2-5,Kangaskhan,5,Rare Holo,90,Colorless,base2,,,
base2-6,Mr. Mime,6,Rare Holo,40,Psychic,base2,,,
base2-7,Nidoqueen,7,Rare Holo,90,Grass,base2,,,
base2-8,Pidgeot,8,Rare Holo,80,Colorless,base2,,,
base2-9,Pinsir,9,Rare Holo,60,Grass,base2,,,
base2-10,Scyther,10,Rare Holo,70,Grass,base2,,,
base2-11,Snorlax,11,Rare Holo,90,Colorless,base2,,,
base2-12,Vaporeon,12,Rare Holo,80,Water,base2,,,
base2-13,Venomoth,13,Rare Holo,70,Grass,base2,,,
base2-14,Victreebel,14,Rare Holo,80,Grass,base2,,,
base2-15,Vileplume,15,Rare Holo,80,Grass,base2,,,
base2-16,Wigglytuff,16,Rare Holo,80,Colorless,base2,,,
base2-17,Clefable,17,Rare,70,Colorless,base2,,,
base2-18,Electrode,18,Rare,90,Lightning,base2,,,
base2-19,Flareon,19,Rare,70,Fire,base2,,,
base2-20,Jolteon,20,Rare,70,Lightning,base2,,,
base2-21,Kangaskhan,21,Rare,90,Colorless,base2,,,
base2-22,Mr. Mime,22,Rare,40,Psychic,base2,,,
base2-23,Nidoqueen,23,Rare,90,Grass,base2,,,
base2-24,Pidgeot,24,Rare,80,Colorless,base2,,,
base2-25,Pinsir,25,Rare,60,Grass,base2,,,
base2-26,Scyther,26,Rare,70,Grass,base2,,,
base2-27,Snorlax,27,Rare,90,Colorless,base2,,,
base2-28,Vaporeon,28,Rare,80,Water,base2,,,
base2-29,Venomoth,29,Rare,70,Grass,base2,,,
base2-30,Victreebel,30,Rare,80,Grass,base2,,,
base2-31,Vileplume,31,Rare,80,Grass,base2,,,
base2-32,Wigglytuff,32,Rare,80,Colorless,base2,,,
base2-33,Butterfree,33,Uncommon,70,Grass,base2,,,
base2-34,Dodrio,34,Uncommon,70,Colorless,base2,,,
base2-35,Exeggutor,35,Uncommon,80,Grass,base2,,,
base2-36,Fearow,36,Uncommon,70,Colorless,base2,,,
base2-37,Gloom,37,Uncommon,60,Grass,base2,,,
base2-38,Lickitung,38,Uncommon,90,Colorless,base2,,,
base2-39,Marowak,39,Uncommon,60,Fighting,base2,,,
base2-40,Nidorina,40,Uncommon,70,Grass,base2,,,
base2-41,Parasect,41,Uncommon,60,Grass,base2,,,
base2-42,Persian,42,Uncommon,70,Colorless,base2,,,
base2-43,Primeape,43,Uncommon,70,Fighting,base2,,,
base2-44,Rapidash,44,Uncommon,70,Fire,base2,,,
base2-45,Rhydon,45,Uncommon,100,Fighting,base2,,,
base2-46,Seaking,46,Uncommon,70,Water,base2,,,
base2-47,Tauros,47,Uncommon,60,Colorless,base2,,,
base2-48,Weepinbell,48,Uncommon,70,Grass,base2,,,
base2-49,Bellsprout,49,Common,40,Grass,base2,,,
base2-50,Cubone,50,Common,40,Fighting,base2,,,
base2-51,Eevee,51,Common,50,Colorless,base2,,,
base2-52,Exeggcute,52,Common,50,Grass,base2,,,
base2-53,Goldeen,53,Common,40,Water,base2,,,
base2-54,Jigglypuff,54,Common,60,Colorless,base2,,,
base2-55,Mankey,55,Common,30,Fighting,base2,,,
base2-56,Meowth,56,Common,50,Colorless,base2,,,
base2-57,Nidoran ♀,57,Common,60,Grass,base2,,,
base2-58,Oddish,58,Common,50,Grass,base2,,,
base2-59,Paras,59,Common,40,Grass,base2,,,
base2-60,Pikachu,60,Common,50,Lightning,base2,,,
base2-61,Rhyhorn,61,Common,70,Fighting,base2,,,
base2-62,Spearow,62,Common,50,Colorless,base2,,,
base2-63,Venonat,63,Common,40,Grass,base2,,,
base2-64,Poké Ball,64,Common,,,base2,,,
basep-1,Pikachu,1,Promo,60,Lightning,basep,,,
basep-2,Electabuzz,2,Promo,60,Lightning,basep,10.1,,
basep-3,Mewtwo,3,Promo,70,Psychic,basep,38.49,,
basep-4,Pikachu,4,Promo,50,Lightning,basep,39.56,,
basep-5,Dragonite,5,Promo,90,Colorless,basep,52.51,,
basep-6,Arcanine,6,Promo,70,Fire,basep,26.35,,
basep-7,Jigglypuff,7,Promo,50,Colorless,basep,33.48,,
basep-8,Mew,8,Promo,50,Psychic,basep,8.72,,
basep-9,Mew,9,Promo,50,Psychic,basep,,98.9,
basep-10,Meowth,10,Promo,50,Colorless,basep,,55.6,
basep-11,Eevee,11,Promo,30,Colorless,basep,,48.84,
basep-12,Mewtwo,12,Promo,60,Psychic,basep,102.66,,
basep-13,Venusaur,13,Promo,100,Grass,basep,,216.17,
basep-14,Mewtwo,14,Promo,70,Psychic,basep,24.71,,
basep-15,Cool Porygon,15,Promo,50,Colorless,basep,,81.38,
basep-16,Computer Error,16,Promo,,,basep,5.62,,
basep-17,Dark Persian,17,Promo,60,Colorless,basep,,82.17,
basep-18,Team Rocket's Meowth,18,Promo,40,Colorless,basep,22.2,,
basep-19,Sabrina's Abra,19,Promo,40,Psychic,basep,47.23,,
basep-20,Psyduck,20,Promo,50,Water,basep,59.77,,
basep-21,Moltres,21,Promo,70,Fire,basep,15.73,,
basep-22,Articuno,22,Promo,70,Water,basep,15.58,,
basep-23,Zapdos,23,Promo,70,Lightning,basep,13.92,,
basep-24,_____'s Pikachu,24,Promo,50,Lightning,basep,,233.7,
basep-25,Flying Pikachu,25,Promo,40,Lightning,basep,60.81,,
basep-26,Pikachu,26,Promo,40,Lightning,basep,64.38,,
basep-27,Pikachu,27,Promo,30,Lightning,basep,17.98,,
basep-28,Surfing Pikachu,28,Promo,50,Lightning,basep,39.93,,
basep-29,Marill,29,Promo,50,Water,basep,5.96,,
basep-30,Togepi,30,Promo,30,Colorless,basep,21.72,,
basep-31,Cleffa,31,Promo,30,Colorless,basep,10.6,,
basep-32,Smeargle,32,Promo,40,Colorless,basep,,,
basep-33,Scizor,33,Promo,70,Metal,basep,16.66,,
basep-34,Entei,34,Promo,80,Fire,basep,,,27.14
basep-35,Pichu,35,Promo,30,Lightning,basep,,,47.09
basep-36,Igglybuff,36,Promo,30,Colorless,basep,11.29,,
basep-37,Hitmontop,37,Promo,60,Fighting,basep,9.7,,
basep-38,Unown [J],38,Promo,40,Psychic,basep,21.12,,
basep-39,Misdreavus,39,Promo,50,Psychic,basep,9.92,,
basep-40,Pokémon Center,40,Promo,,,basep,1108.0,,
basep-41,Lucky Stadium,41,Promo,,,basep,1050.33,,
basep-42,Pokémon Tower,42,Promo,,,basep,11.84,,
basep-43,Machamp,43,Promo,90,Fighting,basep,42.08,,
basep-44,Magmar,44,Promo,60,Fire,basep,24.96,,
basep-45,Scyther,45,Promo,60,Grass,basep,36.59,,
basep-46,Electabuzz,46,Promo,60,Lightning,basep,32.79,,
basep-47,Mew,47,Promo,40,Psychic,basep,122.4,,
basep-48,Articuno,48,Promo,80,Water,basep,71.5,,
basep-49,Snorlax,49,Promo,90,Colorless,basep,224.03,,
basep-50,Celebi,50,Promo,50,Grass,basep,39.92,,
basep-51,Rapidash,51,Promo,60,Fire,basep,34.89,,
basep-52,Ho-oh,52,Promo,80,Fire,basep,37.69,,
basep-53,Suicune,53,Promo,70,Water,basep,43.38,,
base3-1,Aerodactyl,1,Rare Holo,60,Fighting,base3,,,
base3-2,Articuno,2,Rare Holo,70,Water,base3,,,
base3-3,Ditto,3,Rare Holo,50,Colorless,base3,,,
base3-4,Dragonite,4,Rare Holo,100,Colorless,base3,,,
base3-5,Gengar,5,Rare Holo,80,Psychic,base3,,,
base3-6,Haunter,6,Rare Holo,50,Psychic,base3,,,
base3-7,Hitmonlee,7,Rare Holo,60,Fighting,base3,,,
base3-8,Hypno,8,Rare Holo,90,Psychic,base3,,,
base3-9,Kabutops,9,Rare Holo,60,Fighting,base3,,,
base3-10,Lapras,10,Rare Holo,80,Water,base3,,,
base3-11,Magneton,11,Rare Holo,80,Lightning,base3,,,
base3-12,Moltres,12,Rare Holo,70,Fire,base3,,,
base3-13,Muk,13,Rare Holo,70,Grass,base3,,,
base3-14,Raichu,14,Rare Holo,90,Lightning,base3,,,
base3-15,Zapdos,15,Rare Holo,80,Lightning,base3,,,
base3-16,Aerodactyl,16,Rare,60,Fighting,base3,,,
base3-17,Articuno,17,Rare,70,Water,base3,,,
base3-18,Ditto,18,Rare,50,Colorless,base3,,,
base3-19,Dragonite,19,Rare,100,Colorless,base3,,,
base3-20,Gengar,20,Rare,80,Psychic,base3,,,
base3-21,Haunter,21,Rare,50,Psychic,base3,,,
base3-22,Hitmonlee,22,Rare,60,Fighting,base3,,,
base3-23,Hypno,23,Rare,90,Psychic,base3,,,
base3-24,Kabutops,24,Rare,60,Fighting,base3,,,
base3-25,Lapras,25,Rare,80,Water,base3,,,
base3-26,Magneton,26,Rare,80,Lightning,base3,,,
base3-27,Moltres,27,Rare,70,Fire,base3,,,
base3-28,Muk,28,Rare,70,Grass,base3,,,
base3-29,Raichu,29,Rare,90,Lightning,base3,,,
base3-30,Zapdos,30,Rare,80,Lightning,base3,,,
base3-31,Arbok,31,Uncommon,60,Grass,base3,,,
base3-32,Cloyster,32,Uncommon,50,Water,base3,,,
base3-33,Gastly,33,Uncommon,50,Psychic,base3,,,
base3-34,Golbat,34,Uncommon,60,Grass,base3,,,
base3-35,Golduck,35,Uncommon,70,Water,base3,,,
base3-36,Golem,36,Uncommon,80,Fighting,base3,,,
base3-37,Graveler,37,Uncommon,60,Fighting,base3,,,
base3-38,Kingler,38,Uncommon,60,Water,base3,,,
base3-39,Magmar,39,Uncommon,70,Fire,base3,,,
base3-40,Omastar,40,Uncommon,70,Water,base3,,,
base3-41,Sandslash,41,Uncommon,70,Fighting,base3,,,
base3-42,Seadra,42,Uncommon,60,Water,base3,,,
base3-43,Slowbro,43,Uncommon,60,Psychic,base3,,,
base3-44,Tentacruel,44,Uncommon,60,Water,base3,,,
base3-45,Weezing,45,Uncommon,60,Grass,base3,,,
base3-46,Ekans,46,Common,40,Grass,base3,,,
base3-47,Geodude,47,Common,50,Fighting,base3,,,
base3-48,Grimer,48,Common,50,Grass,base3,,,
base3-49,Horsea,49,Common,40,Water,base3,,,
base3-50,Kabuto,50,Common,30,Fighting,base3,,,
base3-51,Krabby,51,Common,50,Water,base3,,,
base3-52,Omanyte,52,Common,40,Water,base3,,,
base3-53,Psyduck,53,Common,50,Water,base3,,,
base3-54,Shellder,54,Common,30,Water,base3,,,
base3-55,Slowpoke,55,Common,50,Psychic,base3,,,
base3-56,Tentacool,56,Common,30,Water,base3,,,
base3-57,Zubat,57,Common,40,Grass,base3,,,
base3-58,Mr. Fuji,58,Uncommon,,,base3,,,
base3-59,Energy Search,59,Common,,,base3,,,
base3-60,Gambler,60,Common,,,base3,,,
base3-61,Recycle,61,Common,,,base3,,,
base3-62,Mysterious Fossil,62,Common,10,,base3,,,
base4-1,Alakazam,1,Rare Holo,80,Psychic,base4,,55.96,
base4-2,Blastoise,2,Rare Holo,100,Water,base4,,104.83,
base4-3,Chansey,3,Rare Holo,120,Colorless,base4,,19.29,
base4-4,Charizard,4,Rare Holo,120,Fire,base4,,372.92,
base4-5,Clefable,5,Rare Holo,70,Colorless,base4,,17.13,
base4-6,Clefairy,6,Rare Holo,40,Colorless,base4,,15.73,
base4-7,Gyarados,7,Rare Holo,100,Water,base4,,33.54,
base4-8,Hitmonchan,8,Rare Holo,70,Fighting,base4,,20.6,
base4-9,Magneton,9,Rare Holo,60,Lightning,base4,,16.69,
base4-10,Mewtwo,10,Rare Holo,60,Psychic,base4,,52.51,
base4-11,Nidoking,11,Rare Holo,90,Grass,base4,,26.31,
base4-12,Nidoqueen,12,Rare Holo,90,Grass,base4,,26.16,
base4-13,Ninetales,13,Rare Holo,80,Fire,base4,,24.59,
base4-14,Pidgeot,14,Rare Holo,80,Colorless,base4,,28.95,
base4-15,Poliwrath,15,Rare Holo,90,Water,base4,,17.21,
base4-16,Raichu,16,Rare Holo,80,Lightning,base4,,35.19,
base4-17,Scyther,17,Rare Holo,70,Grass,base4,,28.22,
base4-18,Venusaur,18,Rare Holo,100,Grass,base4,,80.07,
base4-19,Wigglytuff,19,Rare Holo,80,Colorless,base4,,14.94,
base4-20,Zapdos,20,Rare Holo,90,Lightning,base4,,31.59,
base4-21,Beedrill,21,Rare,80,Grass,base4,2.78,,
base4-22,Dragonair,22,Rare,80,Colorless,base4,8.75,,
base4-23,Dugtrio,23,Rare,70,Fighting,base4,3.96,,
base4-24,Electabuzz,24,Rare,70,Lightning,base4,3.42,,
base4-25,Electrode,25,Rare,80,Lightning,base4,4.05,,
base4-26,Kangaskhan,26,Rare,90,Colorless,base4,4.4,,
base4-27,Mr. Mime,27,Rare,40,Psychic,base4,5.6,,
base4-28,Pidgeotto,28,Rare,60,Colorless,base4,4.85,,
base4-29,Pinsir,29,Rare,60,Grass,base4,4.13,,
base4-30,Snorlax,30,Rare,90,Colorless,base4,23.64,,
base4-31,Venomoth,31,Rare,70,Grass,base4,4.08,,
base4-32,Victreebel,32,Rare,80,Grass,base4,3.64,,
base4-33,Arcanine,33,Uncommon,100,Fire,base4,1.88,,
base4-34,Butterfree,34,Uncommon,70,Grass,base4,1.9,,
base4-35,Charmeleon,35,Uncommon,80,Fire,base4,2.14,,
base4-36,Dewgong,36,Uncommon,80,Water,base4,1.39,,
base4-37,Dodrio,37,Uncommon,70,Colorless,base4,2.23,,
base4-38,Dratini,38,Uncommon,40,Colorless,base4,1.06,,
base4-39,Exeggutor,39,Uncommon,80,Grass,base4,1.33,,
base4-40,Farfetch'd,40,Uncommon,50,Colorless,base4,0.68,,
base4-41,Fearow,41,Uncommon,70,Colorless,base4,1.26,,
base4-42,Growlithe,42,Uncommon,60,Fire,base4,1.45,,
base4-43,Haunter,43,Uncommon,60,Psychic,base4,1.17,,
base4-44,Ivysaur,44,Uncommon,60,Grass,base4,4.72,,
base4-45,Jynx,45,Uncommon,70,Psychic,base4,1.28,,
base4-46,Kadabra,46,Uncommon,60,Psychic,base4,1.55,,
base4-47,Kakuna,47,Uncommon,80,Grass,base4,0.78,,
base4-48,Lickitung,48,Uncommon,90,Colorless,base4,1.96,,
base4-49,Machoke,49,Uncommon,80,Fighting,base4,0.79,,
base4-50,Magikarp,50,Uncommon,30,Water,base4,1.54,,
base4-51,Magmar,51,Uncommon,50,Fire,base4,1.36,,
base4-52,Marowak,52,Uncommon,60,Fighting,base4,2.03,,
base4-53,Nidorina,53,Uncommon,70,Grass,base4,0.87,,
base4-54,Nidorino,54,Uncommon,60,Grass,base4,1.71,,
base4-55,Parasect,55,Uncommon,60,Grass,base4,1.21,,
base4-56,Persian,56,Uncommon,70,Colorless,base4,2.86,,
base4-57,Poliwhirl,57,Uncommon,60,Water,base4,1.1,,
base4-58,Raticate,58,Uncommon,60,Colorless,base4,1.0,,
base4-59,Rhydon,59,Uncommon,100,Fighting,base4,1.82,,
base4-60,Seaking,60,Uncommon,70,Water,base4,1.04,,
base4-61,Seel,61,Uncommon,60,Water,base4,0.78,,
base4-62,Tauros,62,Uncommon,60,Colorless,base4,3.32,,
base4-63,Wartortle,63,Uncommon,70,Water,base4,1.9,,
base4-64,Weepinbell,64,Uncommon,70,Grass,base4,1.06,,
base4-65,Abra,65,Common,30,Psychic,base4,0.61,,
base4-66,Bellsprout,66,Common,40,Grass,base4,0.43,,
base4-67,Bulbasaur,67,Common,40,Grass,base4,2.77,,
base4-68,Caterpie,68,Common,40,Grass,base4,0.71,,
base4-69,Charmander,69,Common,50,Fire,base4,1.5,,
base4-70,Cubone,70,Common,40,Fighting,base4,1.42,,
base4-71,Diglett,71,Common,30,Fighting,base4,0.48,,
base4-72,Doduo,72,Common,50,Colorless,base4,0.44,,
base4-73,Drowzee,73,Common,50,Psychic,base4,0.57,,
base4-74,Exeggcute,74,Common,50,Grass,base4,0.64,,
base4-75,Gastly,75,Common,30,Psychic,base4,0.57,,
base4-76,Goldeen,76,Common,40,Water,base4,0.47,,
base4-77,Jigglypuff,77,Common,60,Colorless,base4,0.85,,
base4-78,Machop,78,Common,50,Fighting,base4,0.43,,
base4-79,Magnemite,79,Common,40,Lightning,base4,0.48,,
base4-80,Meowth,80,Common,50,Colorless,base4,0.71,,
base4-81,Metapod,81,Common,70,Grass,base4,0.6,,
base4-82,Nidoran ♀,82,Common,60,Grass,base4,0.53,,
base4-83,Nidoran ♂,83,Common,40,Grass,base4,0.49,,
base4-84,Onix,84,Common,90,Fighting,base4,0.99,,
base4-85,Paras,85,Common,40,Grass,base4,0.58,,
base4-86,Pidgey,86,Common,40,Colorless,base4,0.64,,
base4-87,Pikachu,87,Common,40,Lightning,base4,2.66,,
base4-88,Poliwag,88,Common,40,Water,base4,0.42,,
base4-89,Rattata,89,Common,30,Colorless,base4,0.49,,
base4-90,Rhyhorn,90,Common,70,Fighting,base4,0.64,,
base4-91,Sandshrew,91,Common,40,Fighting,base4,0.57,,
base4-92,Spearow,92,Common,50,Colorless,base4,0.56,,
base4-93,Squirtle,93,Common,40,Water,base4,1.46,,
base4-94,Starmie,94,Common,60,Water,base4,0.68,,
base4-95,Staryu,95,Common,40,Water,base4,0.36,,
base4-96,Tangela,96,Common,50,Grass,base4,0.51,,
base4-97,Venonat,97,Common,40,Grass,base4,0.67,,
base4-98,Voltorb,98,Common,40,Lightning,base4,0.57,,
base4-99,Vulpix,99,Common,50,Fire,base4,1.19,,
base4-100,Weedle,100,Common,40,Grass,base4,0.44,,
base4-101,Computer Search,101,Rare,,,base4,2.68,,
base4-102,Imposter Professor Oak,102,Rare,,,base4,2.84,,
base4-103,Item Finder,103,Rare,,,base4,9.06,,
base4-104,Lass,104,Rare,,,base4,3.03,,
base4-105,Pokémon Breeder,105,Rare,,,base4,4.37,,
base4-106,Pokémon Trader,106,Rare,,,base4,3.46,,
base4-107,Scoop Up,107,Rare,,,base4,5.37,,
base4-108,Super Energy Removal,108,Rare,,,base4,2.81,,
base4-109,Defender,109,Uncommon,,,base4,0.47,,
base4-110,Energy Retrieval,110,Uncommon,,,base4,0.43,,
base4-111,Full Heal,111,Uncommon,,,base4,0.45,,
base4-112,Maintenance,112,Uncommon,,,base4,0.96,,
base4-113,PlusPower,113,Uncommon,,,base4,0.49,,
base4-114,Pokémon Center,114,Uncommon,,,base4,0.94,,
base4-115,Pokédex,115,Uncommon,,,base4,0.61,,
base4-116,Professor Oak,116,Uncommon,,,base4,1.37,,
base4-117,Super Potion,117,Uncommon,,,base4,0.35,,
base4-118,Bill,118,Common,,,base4,0.35,,
base4-119,Energy Removal,119,Common,,,base4,0.35,,
base4-120,Gust of Wind,120,Common,,,base4,0.27,,
base4-121,Poké Ball,121,Common,,,base4,0.38,,
base4-122,Potion,122,Common,,,base4,0.29,,
base4-123,Switch,123,Common,,,base4,0.33,,
base4-124,Double Colorless Energy,124,Uncommon,,,base4,2.87,,
base4-125,Fighting Energy,125,,,,base4,0.32,,
base4-126,Fire Energy,126,,,,base4,1.13,,
base4-127,Grass Energy,127,,,,base4,0.28,,
base4-128,Lightning Energy,128,,,,base4,0.28,,
base4-129,Psychic Energy,129,,,,base4,0.31,,
base4-130,Water Energy,130,,,,base4,0.33,,
base5-1,Dark Alakazam,1,Rare Holo,60,Psychic,base5,,,
base5-2,Dark Arbok,2,Rare Holo,60,Grass,base5,,,
base5-3,Dark Blastoise,3,Rare Holo,70,Water,base5,,,
base5-4,Dark Charizard,4,Rare Holo,80,Fire,base5,,,
base5-5,Dark Dragonite,5,Rare Holo,70,Colorless,base5,,,
base5-6,Dark Dugtrio,6,Rare Holo,50,Fighting,base5,,,
base5-7,Dark Golbat,7,Rare Holo,50,Grass,base5,,,
base5-8,Dark Gyarados,8,Rare Holo,70,Water,base5,,,
base5-9,Dark Hypno,9,Rare Holo,60,Psychic,base5,,,
base5-10,Dark Machamp,10,Rare Holo,70,Fighting,base5,,,
base5-11,Dark Magneton,11,Rare Holo,60,Lightning,base5,,,
base5-12,Dark Slowbro,12,Rare Holo,60,Psychic,base5,,,
base5-13,Dark Vileplume,13,Rare Holo,60,Grass,base5,,,
base5-14,Dark Weezing,14,Rare Holo,60,Grass,base5,,,
base5-15,Here Comes Team Rocket!,15,Rare Holo,,,base5,,,
base5-16,Rocket's Sneak Attack,16,Rare Holo,,,base5,,,
base5-17,Rainbow Energy,17,Rare Holo,,,base5,,,
base5-18,Dark Alakazam,18,Rare,60,Psychic,base5,,,
base5-19,Dark Arbok,19,Rare,60,Grass,base5,,,
base5-20,Dark Blastoise,20,Rare,70,Water,base5,,,
base5-21,Dark Charizard,21,Rare,80,Fire,base5,,,
base5-22,Dark Dragonite,22,Rare,70,Colorless,base5,,,
base5-23,Dark Dugtrio,23,Rare,50,Fighting,base5,,,
base5-24,Dark Golbat,24,Rare,50,Grass,base5,,,
base5-25,Dark Gyarados,25,Rare,70,Water,base5,,,
base5-26,Dark Hypno,26,Rare,60,Psychic,base5,,,
base5-27,Dark Machamp,27,Rare,70,Fighting,base5,,,
base5-28,Dark Magneton,28,Rare,60,Lightning,base5,,,
base5-29,Dark Slowbro,29,Rare,60,Psychic,base5,,,
